experiment_name,mode,branch,family,backbone,model_name,pretrained,loss,scheduler,label_smoothing,mixup_alpha,cutmix_alpha,feature_attention,class_weighting,expert_classes,epochs,batch_size,image_size,lr,weight_decay,min_lr,seed,train_size,valid_size,test_size,best_epoch_main,best_epoch_expert,valid_acc,valid_macro_f1,test_acc,test_macro_f1,test_weighted_f1,test_expert_invocations,test_expert_changed,test_expert_corrected,test_expert_hurt,elapsed_seconds
expert_pair_lc_sq_v2.0_pretrained_ce_b3,expert,expert_pair_lc_sq,v2.0_pretrained_ce,efficientnet_b3,efficientnet_b3,True,cross_entropy,none,0,0,0,none,none,"large.cell.carcinoma,squamous.cell.carcinoma",25,16,288,0.0003,0.0001,0,42,270,36,141,22,,97.22%,0.9717,93.62%,0.9322,0.9367,,,,,121.8782
expert_pair_lc_sq_v2.0_pretrained_ce_b4,expert,expert_pair_lc_sq,v2.0_pretrained_ce,efficientnet_b4,efficientnet_b4,True,cross_entropy,none,0,0,0,none,none,"large.cell.carcinoma,squamous.cell.carcinoma",25,16,320,0.0003,0.0001,0,42,270,36,141,7,,91.67%,0.9161,86.52%,0.8421,0.8588,,,,,161.6903
cascade_v2.0_pretrained_ce,cascade,cascade_tumor3,v2.0_pretrained_ce,efficientnet_b0,efficientnet_b0,,,,,,,None,,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",,,224,,,,,613,72,315,23,15,91.67%,0.9173,76.19%,0.7724,0.7659,13,9,3,3,9.8573
cascade_v2.0_pretrained_ce_b1,cascade,cascade_tumor3,v2.0_pretrained_ce,efficientnet_b1,efficientnet_b1,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",,,240,,,,,613,72,315,18,19,87.50%,0.8812,85.40%,0.8577,0.8528,13,10,1,5,13.9995
cascade_v2.0_pretrained_ce_b2,cascade,cascade_tumor3,v2.0_pretrained_ce,efficientnet_b2,efficientnet_b2,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",,,256,,,,,613,72,315,23,21,91.67%,0.9213,89.52%,0.9032,0.8951,6,4,3,1,13.0145
cascade_v2.0_pretrained_ce_b3,cascade,cascade_tumor3,v2.0_pretrained_ce,efficientnet_b3,efficientnet_b3,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",,,288,,,,,613,72,315,4,16,93.06%,0.9334,90.79%,0.9169,0.9076,9,5,1,3,15.8269
cascade_v2.0_pretrained_ce_b4,cascade,cascade_tumor3,v2.0_pretrained_ce,efficientnet_b4,efficientnet_b4,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma,squamous.cell.carcinoma",,,320,,,,,613,72,315,18,14,86.11%,0.8620,82.86%,0.8508,0.8286,12,7,4,3,20.161
cascade_pair_ad_lc_v2.0_pretrained_ce,cascade,cascade_pair_ad_lc,v2.0_pretrained_ce,efficientnet_b0,efficientnet_b0,,,,,,,None,,"adenocarcinoma,large.cell.carcinoma",,,224,,,,,613,72,315,23,22,91.67%,0.9173,75.56%,0.7670,0.7599,3,2,0,2,8.491
cascade_pair_ad_lc_v2.0_pretrained_ce_b1,cascade,cascade_pair_ad_lc,v2.0_pretrained_ce,efficientnet_b1,efficientnet_b1,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma",,,240,,,,,613,72,315,18,6,84.72%,0.8567,86.35%,0.8735,0.8635,5,3,1,2,13.5579
cascade_pair_ad_lc_v2.0_pretrained_ce_b2,cascade,cascade_pair_ad_lc,v2.0_pretrained_ce,efficientnet_b2,efficientnet_b2,,,,,,,none,,"adenocarcinoma,large.cell.carcinoma",,,256,,,,,613,72,315,23,24,91.67%,0.9213,88.89%,0.9000,0.8890,2,0,0,0,12.8882
